,date,sn,model,cap_b,cap_gb,cap_tb,failure,reallocated_sector_count,operational_hours,turned_off_on,uncorrectable_errors,command_timeout,high_fly_writes,pending_sector_count,uncorrectable_sector_count
64,2019-01-14,PL1331LAHEZ7JH,HGST HMS5C4040BLE640,4000787030016,4000,4,1,0.0,16699.0,5.0,,,,24.0,0.0
65,2019-01-14,Z302T7JZ,ST4000DM000,4000787030016,4000,4,1,0.0,29034.0,11.0,0.0,0.0,0.0,0.0,0.0
66,2019-01-14,S301GQA4,ST4000DM000,4000787030016,4000,4,1,0.0,28137.0,2.0,0.0,0.0,0.0,0.0,0.0
67,2019-01-14,Z303Y470,ST4000DM000,4000787030016,4000,4,1,0.0,29300.0,22.0,0.0,2.0,0.0,0.0,0.0
68,2019-01-15,ZJV03KEK,ST12000NM0007,12000138625024,12000,12,1,0.0,6014.0,6.0,0.0,0.0,,32.0,32.0
69,2019-01-15,ZCH07F4G,ST12000NM0007,12000138625024,12000,12,1,8744.0,9546.0,1.0,8.0,0.0,,0.0,0.0
70,2019-01-15,ZA17347A,ST8000NM0055,8001563222016,8001,8,1,0.0,13372.0,2.0,0.0,0.0,0.0,0.0,0.0
71,2019-01-15,ZA18106W,ST8000NM0055,8001563222016,8001,8,1,216.0,12564.0,4.0,0.0,0.0,0.0,0.0,0.0
72,2019-01-15,ZCH0CCQ7,ST12000NM0007,12000138625024,12000,12,1,8688.0,8864.0,1.0,0.0,0.0,,0.0,0.0
73,2019-01-15,S300Z60X,ST4000DM000,4000787030016,4000,4,1,0.0,32136.0,3.0,6.0,0.0,0.0,8.0,8.0
74,2019-01-15,Z3059CCB,ST4000DM000,4000787030016,4000,4,1,0.0,26339.0,8.0,5.0,0.0,0.0,8.0,8.0
75,2019-01-16,ZA21CC6L,ST10000NM0086,10000831348736,10000,10,1,390.0,11634.0,1.0,3.0,0.0,22.0,16.0,16.0
76,2019-01-16,ZA1814JM,ST8000NM0055,8001563222016,8001,8,1,0.0,12595.0,5.0,0.0,0.0,0.0,0.0,0.0
77,2019-01-16,Z302F0C0,ST4000DM000,4000787030016,4000,4,1,0.0,34524.0,10.0,0.0,1.0,0.0,0.0,0.0
78,2019-01-16,ZJV2E9J0,ST12000NM0007,12000138625024,12000,12,1,0.0,769.0,1.0,0.0,0.0,,0.0,0.0
79,2019-01-17,Z3025LXD,ST4000DM000,4000787030016,4000,4,1,1816.0,36601.0,14.0,4.0,0.0,6.0,6536.0,6536.0
80,2019-01-17,ZA180QC8,ST8000NM0055,8001563222016,8001,8,1,0.0,12141.0,2.0,5.0,0.0,0.0,464.0,464.0
81,2019-01-17,ZA12XGTD,ST8000NM0055,8001563222016,8001,8,1,24.0,14254.0,2.0,2.0,0.0,0.0,16.0,16.0
82,2019-01-17,ZA15YBJM,ST8000NM0055,8001563222016,8001,8,1,0.0,12309.0,4.0,0.0,0.0,0.0,0.0,0.0
83,2019-01-17,ZCH0CJPF,ST12000NM0007,12000138625024,12000,12,1,3325.0,9068.0,5.0,0.0,4295032833.0,,0.0,0.0
84,2019-01-17,Z304JWPG,ST4000DM000,4000787030016,4000,4,1,8.0,28212.0,6.0,18.0,0.0,0.0,40.0,40.0
85,2019-01-18,ZA11J9ZY,ST8000DM002,8001563222016,8001,8,1,48.0,21847.0,5.0,0.0,0.0,0.0,0.0,0.0
86,2019-01-18,ZA18183R,ST8000NM0055,8001563222016,8001,8,1,16.0,12642.0,7.0,0.0,0.0,0.0,0.0,0.0
87,2019-01-19,PL1331LAHD5RRH,HGST HMS5C4040BLE640,4000787030016,4000,4,1,0.0,14298.0,2.0,,,,0.0,0.0
88,2019-01-19,Z300PQPQ,ST4000DM000,4000787030016,4000,4,1,0.0,35217.0,13.0,0.0,0.0,0.0,0.0,0.0
89,2019-01-20,ZA171RQB,ST8000NM0055,8001563222016,8001,8,1,0.0,15120.0,4.0,0.0,0.0,0.0,0.0,0.0
90,2019-01-21,Z302F2WA,ST4000DM000,4000787030016,4000,4,1,1832.0,34655.0,4.0,7.0,2.0,0.0,96.0,96.0
91,2019-01-21,S301NKQV,ST4000DM000,4000787030016,4000,4,1,8.0,28317.0,14.0,30.0,0.0,0.0,40.0,40.0
92,2019-01-21,ZA12X0AP,ST8000NM0055,8001563222016,8001,8,1,0.0,14346.0,1.0,0.0,0.0,0.0,0.0,0.0
93,2019-01-21,S2ZYJ9CF504029,ST500LM012 HN,500107862016,500,0,1,0.0,36163.0,24.0,,,,0.0,0.0
94,2019-01-21,ZA126676,ST8000DM002,8001563222016,8001,8,1,40.0,21684.0,5.0,20.0,0.0,0.0,8.0,8.0
95,2019-01-21,ZCH0840Z,ST12000NM0007,12000138625024,12000,12,1,7240.0,10517.0,2.0,6.0,0.0,,40.0,40.0
96,2019-01-21,Z302T6A8,ST4000DM000,4000787030016,4000,4,1,0.0,30137.0,29.0,1.0,0.0,0.0,384.0,384.0
97,2019-01-21,Z304HSVA,ST4000DM000,4000787030016,4000,4,1,0.0,27462.0,14.0,2.0,0.0,0.0,8.0,8.0
98,2019-01-21,Z3025M1G,ST4000DM000,4000787030016,4000,4,1,0.0,37418.0,17.0,6.0,0.0,7.0,328.0,328.0
99,2019-01-21,ZA16CR18,ST8000NM0055,8001563222016,8001,8,1,0.0,12880.0,1.0,0.0,0.0,0.0,0.0,0.0
100,2019-01-22,ZDEC8Z1Y,ST500LM030,500107862016,500,0,1,0.0,1292.0,7.0,0.0,42950328330.0,0.0,0.0,0.0
101,2019-01-22,ZA173E77,ST8000NM0055,8001563222016,8001,8,1,8.0,13565.0,1.0,1.0,0.0,0.0,0.0,0.0
102,2019-01-22,ZJV03N38,ST12000NM0007,12000138625024,12000,12,1,2248.0,6180.0,11.0,4.0,0.0,,0.0,0.0
103,2019-01-22,ZA1816BZ,ST8000NM0055,8001563222016,8001,8,1,0.0,12742.0,5.0,0.0,0.0,0.0,0.0,0.0
104,2019-01-22,ZCH07DZ7,ST12000NM0007,12000138625024,12000,12,1,1.0,10906.0,5.0,1.0,0.0,,0.0,0.0
105,2019-01-22,188DT94ZT,TOSHIBA MQ01ABF050M,500107862016,500,0,1,0.0,6172.0,18.0,,,,0.0,0.0
106,2019-01-23,ZJV03JH3,ST12000NM0007,12000138625024,12000,12,1,9.0,6206.0,8.0,1723.0,4295032833.0,,0.0,0.0
107,2019-01-23,ZJV0M2TR,ST12000NM0007,12000138625024,12000,12,1,408.0,1326.0,1.0,0.0,0.0,,0.0,0.0
108,2019-01-23,ZA1818RN,ST8000NM0055,8001563222016,8001,8,1,0.0,12774.0,6.0,0.0,0.0,0.0,0.0,0.0
109,2019-01-23,S300TS9Z,ST4000DM000,4000787030016,4000,4,1,176.0,30076.0,8.0,4.0,0.0,0.0,0.0,0.0
110,2019-01-23,ZA21DNJD,ST10000NM0086,10000831348736,10000,10,1,6592.0,11797.0,1.0,3.0,0.0,11.0,0.0,0.0
111,2019-01-23,S2ZYJ9DFA03940,ST500LM012 HN,500107862016,500,0,1,0.0,25498.0,13.0,,,,0.0,0.0
112,2019-01-23,Z302SYPR,ST4000DM000,4000787030016,4000,4,1,0.0,29253.0,5.0,22.0,0.0,0.0,64.0,64.0
113,2019-01-23,ZCH07RN1,ST12000NM0007,12000138625024,12000,12,1,8416.0,10404.0,5.0,2.0,0.0,,0.0,0.0
114,2019-01-23,ZCH0E54J,ST12000NM0007,12000138625024,12000,12,1,48.0,4287.0,2.0,38.0,0.0,,120.0,120.0
115,2019-01-23,S2ZYJ9FG404788,ST500LM012 HN,500107862016,500,0,1,0.0,25542.0,30.0,,,,0.0,0.0
116,2019-01-23,ZCH07ZW4,ST12000NM0007,12000138625024,12000,12,1,135.0,11016.0,3.0,2.0,12885098499.0,,0.0,0.0
117,2019-01-23,ZCH0BPTZ,ST12000NM0007,12000138625024,12000,12,1,0.0,6205.0,7.0,1.0,0.0,,0.0,0.0
118,2019-01-24,ZJV02LNB,ST12000NM0007,12000138625024,12000,12,1,0.0,6217.0,1.0,0.0,0.0,,0.0,0.0
119,2019-01-24,Z3041TE5,ST4000DM000,4000787030016,4000,4,1,0.0,29211.0,24.0,9.0,0.0,0.0,128.0,128.0
120,2019-01-24,PL2331LAGPKGSJ,HGST HMS5C4040ALE640,4000787030016,4000,4,1,156.0,40512.0,8.0,,,,32.0,0.0
121,2019-01-24,ZCH0A24Q,ST12000NM0007,12000138625024,12000,12,1,23792.0,9080.0,1.0,2.0,0.0,,0.0,0.0
122,2019-01-24,ZA1810B6,ST8000NM0055,8001563222016,8001,8,1,0.0,12315.0,1.0,0.0,0.0,0.0,0.0,0.0
123,2019-01-24,ZCH07RJM,ST12000NM0007,12000138625024,12000,12,1,15304.0,10422.0,2.0,7.0,0.0,,0.0,0.0
124,2019-01-25,ZCH0BC0N,ST12000NM0007,12000138625024,12000,12,1,0.0,9284.0,7.0,0.0,0.0,,0.0,0.0
125,2019-01-25,Z304JJ0A,ST4000DM000,4000787030016,4000,4,1,32.0,28251.0,7.0,13.0,0.0,0.0,16.0,16.0
126,2019-01-25,Z304L8JW,ST4000DM000,4000787030016,4000,4,1,0.0,27903.0,5.0,0.0,0.0,0.0,0.0,0.0
127,2019-01-25,WD-WXB1AB527399,WDC WD5000LPCX,500107862016,500,0,1,0.0,21771.0,4.0,,,,0.0,0.0
128,2019-01-25,ZCH0BVLB,ST12000NM0007,12000138625024,12000,12,1,848.0,9091.0,2.0,7.0,0.0,,0.0,0.0
129,2019-01-25,ZCH0CZ94,ST12000NM0007,12000138625024,12000,12,1,1448.0,7900.0,2.0,2.0,0.0,,8.0,8.0
130,2019-01-26,ZA143SM3,ST8000DM002,8001563222016,8001,8,1,0.0,19652.0,4.0,0.0,30065229833.0,0.0,0.0,0.0
131,2019-01-26,ZJV1CSQ0,ST12000NM0007,12000138625024,12000,12,1,0.0,1372.0,1.0,0.0,0.0,,0.0,0.0
132,2019-01-27,Z304JN7J,ST4000DM000,4000787030016,4000,4,1,120.0,29018.0,9.0,5.0,0.0,0.0,8.0,8.0
133,2019-01-27,ZCH05KWT,ST12000NM0007,12000138625024,12000,12,1,32.0,12266.0,2.0,13.0,0.0,,144.0,144.0
134,2019-01-27,Z303MZ9Y,ST4000DM000,4000787030016,4000,4,1,0.0,28466.0,7.0,0.0,0.0,0.0,0.0,0.0
135,2019-01-27,Z30251XR,ST4000DM000,4000787030016,4000,4,1,0.0,36830.0,16.0,0.0,0.0,7.0,0.0,0.0
136,2019-01-28,ZA1890DY,ST8000NM0055,8001563222016,8001,8,1,10360.0,13589.0,4.0,2.0,0.0,0.0,0.0,0.0
137,2019-01-28,Z3025LRK,ST4000DM000,4000787030016,4000,4,1,1.0,35778.0,10.0,107.0,2.0,1.0,7.0,7.0
138,2019-01-28,ZCH08N8S,ST12000NM0007,12000138625024,12000,12,1,5576.0,9563.0,3.0,1.0,0.0,,0.0,0.0
139,2019-01-28,ZCH0BFCV,ST12000NM0007,12000138625024,12000,12,1,439.0,7025.0,3.0,0.0,0.0,,0.0,0.0
140,2019-01-28,ZA11SBWJ,ST8000NM0055,8001563222016,8001,8,1,30872.0,16276.0,3.0,4.0,0.0,0.0,0.0,0.0
141,2019-01-28,Z300YLXG,ST4000DM000,4000787030016,4000,4,1,20744.0,37255.0,10.0,0.0,0.0,2.0,2648.0,2648.0
142,2019-01-29,S300X3XJ,ST4000DM000,4000787030016,4000,4,1,0.0,35376.0,14.0,2.0,0.0,0.0,0.0,0.0
143,2019-01-29,ZJV00NYA,ST12000NM0007,12000138625024,12000,12,1,0.0,7991.0,5.0,0.0,0.0,,0.0,0.0
144,2019-01-30,AAG1SRHH,HGST HUH721212ALN604,12000138625024,12000,12,1,0.0,989.0,1.0,,,,0.0,0.0
145,2019-01-31,ZJV1CSTH,ST12000NM0007,12000138625024,12000,12,1,0.0,1387.0,1.0,0.0,0.0,,168.0,168.0
146,2019-01-31,Z302SR45,ST4000DM000,4000787030016,4000,4,1,0.0,29896.0,5.0,0.0,0.0,0.0,0.0,0.0
147,2019-02-01,ZCH0FEAV,ST12000NM0007,12000138625024,12000,12,1,0.0,2583.0,3.0,0.0,0.0,,0.0,0.0
148,2019-02-01,ZCH07BEE,ST12000NM0007,12000138625024,12000,12,1,5016.0,11380.0,4.0,0.0,0.0,,8.0,8.0
